标题,品牌,车型,款式,车年份,购车时间,售价,首付,里程,城市
哈弗M6 2021款 PLUS 1.5T 双离合精英智联型,哈弗,哈弗M6,1.5T,2021,2021,5.52,1.10万,2.98万公里,乌鲁木齐
福特Mustang 2017款 2.3T 手自一体 性能版,福特,福特Mustang,性能版,2017,2017,14.4,2.88万,5.80万公里,昆明
日产奇骏 2021款 VC-Turbo 300 两驱豪华版 7座,日产,日产奇骏,7座,2021,2022,13.2,2.64万,5.01万公里,乌鲁木齐
本田缤智 2017款 1.5L CVT 两驱 舒适版,本田,本田缤智,舒适版,2017,2018,6.7,1.34万,5.31万公里,广州
雪佛兰沃兰多 2019款 Redline 530T 手自一体 纵享版 7座 国VI,雪佛兰,雪佛兰沃兰多,国VI,2019,2020,6.68,1.34万,4.15万公里,包头
红旗H5经典 2019款 1.8T 智联御动版,红旗,红旗H5经典,智联御动版,2019,2019,7.5,1.50万,1.74万公里,广州
奔驰GLC轿跑 2020款 GLC 260 4MATIC 轿跑SUV,奔驰,奔驰GLC轿跑,4MATIC,2020,2020,24.1,4.82万,5.18万公里,广州
比亚迪海豚 2021款 405km 时尚版,比亚迪,比亚迪海豚,时尚版,2021,2022,7.6,1.52万,1.94万公里,南京
吉利汽车吉利博瑞 2020款 1.5T 双离合 耀享版,吉利汽车,吉利汽车吉利博瑞,耀享版,2020,2019,6.7,1.34万,5.55万公里,保定
丰田卡罗拉 2022款 1.5L CVT 先锋版,丰田,丰田卡罗拉,先锋版,2022,2022,8.0,1.60万,0.82万公里,唐山
宝骏KiWi EV 2022款 305km 设计师轻享版 三元锂,宝骏,宝骏KiWi,三元锂,2022,2022,4.5,0.90万,1.43万公里,邯郸
本田冠道 2017款 240TURBO CVT 两驱 豪华版 国V,本田,本田冠道,国V,2017,2017,11.98,2.40万,9.71万公里,菏泽
大众朗逸 2019款 1.5L 手自一体 风尚版 国VI,大众,大众朗逸,国VI,2019,2020,6.7,1.34万,3.25万公里,邯郸
本田XR-V 2021款 220TURBO CVT舒适版,本田,本田XR-V,CVT舒适版,2021,2021,9.3,1.86万,2.72万公里,邯郸
大众途昂 2020款 380TSI 四驱 豪华版 国VI,大众,大众途昂,国VI,2020,2020,21.6,4.32万,3.47万公里,邯郸
奥迪Q3 2015款 35 TFSI quattro 技术型,奥迪,奥迪Q3,quattro,2015,2015,7.56,1.51万,6.15万公里,贵阳
东风风行菱智 2020款 M5L 1.6L 手动 豪华型 7座,东风风行,东风风行菱智,豪华型,2020,2021,4.4,0.88万,4.04万公里,广州
小鹏P7 2022款 480E+,小鹏,小鹏P7,2022款,2022,2022,13.5,2.70万,1.84万公里,北京
现代领动 2018款 1.4T 双离合 炫动·活力版,现代,现代领动,炫动·活力版,2018,2018,5.5,1.10万,8.69万公里,重庆
奥迪A6L 2022款 45 TFSI quattro 臻选动感型,奥迪,奥迪A6L,quattro,2022,2022,33.8,6.76万,2.34万公里,济宁
大众捷达 2019款 梦想版 1.5L 自动 舒适版,大众,大众捷达,舒适版,2019,2019,5.2,1.04万,5.68万公里,北京
长安逸动 2022款 PLUS 蓝鲸NE 1.4T GDI 双离合旗舰版,长安,长安逸动,双离合旗舰版,2022,2022,6.6,1.32万,1.84万公里,惠州
坦克300 2021款 越野版 2.0T 征服者,坦克,坦克300,征服者,2021,2022,17.59,3.52万,3.88万公里,惠州
凯迪拉克XT5 2020款 改款 28T 四驱 豪华型,凯迪拉克,凯迪拉克XT5,四驱,2020,2020,19.88,3.98万,3.11万公里,郑州
宝骏510 2017款 1.5L AMT 豪华版,宝骏,宝骏510,豪华版,2017,2018,3.48,0.70万,3.91万公里,赣州
北京汽车北京X3 2019款 1.5L 手动 荣耀版,北京汽车,北京汽车北京X3,荣耀版,2019,2019,3.18,0.64万,6.77万公里,南宁
大众迈腾 2015款 改款 1.8TSI 豪华型,大众,大众迈腾,1.8TSI,2015,2015,5.45,1.09万,9.71万公里,南宁
吉利汽车吉利远景 2020款 1.5L 手动 亚运版,吉利汽车,吉利汽车吉利远景,亚运版,2020,2021,3.6,0.72万,1.16万公里,济南
丰田逸致 2014款 1.8L CVT  180E 精英版 5座,丰田,丰田逸致,5座,2014,2013,4.8,0.96万,11.83万公里,郑州
起亚KX5 2016款 1.6T 双离合 两驱 Premium,起亚,起亚KX5,两驱,2016,2017,6.84,1.37万,7.29万公里,郑州
凯迪拉克ATS-L 2017款 28T 时尚版,凯迪拉克,凯迪拉克ATS-L,时尚版,2017,2017,10.1,2.02万,7.57万公里,石家庄
奥迪A3 2016款 Sportback 35TFSI 进取型,奥迪,奥迪A3,35TFSI,2016,2017,7.38,1.48万,8.08万公里,昆明
路虎揽胜极光 2020款 249PS R-DYNAMIC S 运动版,路虎,路虎揽胜极光,运动版,2020,2020,19.5,3.90万,3.91万公里,沧州
别克昂科威 2018款 28T 手自一体 四驱 精英版 国V,别克,别克昂科威,国V,2018,2018,8.28,1.66万,6.04万公里,苏州
荣威RX5 2021款 PLUS 330TGI 双离合国潮智臻版,荣威,荣威RX5,双离合国潮智臻版,2021,2022,8.46,1.69万,2.89万公里,苏州
丰田RAV4荣放 2021款 2.0L CVT 两驱 风尚Plus版,丰田,丰田RAV4荣放,风尚Plus版,2021,2021,13.88,2.78万,3.13万公里,苏州
奥迪A6L 2023款 40 TFSI 豪华动感型,奥迪,奥迪A6L,TFSI,2023,2022,33.58,6.72万,2.73万公里,沧州
宝马X1 2014款 sDrive18i 2.0T 手自一体 领先型,宝马,宝马X1,手自一体,2014,2014,6.3,1.26万,9.34万公里,青岛
领克06 2020款 1.5T 耀Halo,领克,领克06,1.5T,2020,2022,9.32,1.86万,0.70万公里,昆明
宝马5系(进口) 2021款 530i M运动套装,宝马,宝马5系(进口),530i,2021,2020,28.9,5.78万,6.57万公里,惠州
红旗H5经典 2020款 1.5T 双离合 旗韵版,红旗,红旗H5经典,旗韵版,2020,2021,7.7,1.54万,1.43万公里,中山
大众朗逸 2017款 230TSI 双离合 舒适版,大众,大众朗逸,舒适版,2017,2018,5.88,1.18万,5.25万公里,中山
雪佛兰科鲁泽 2023款 1.5L 双离合悦享版,雪佛兰,雪佛兰科鲁泽,双离合悦享版,2023,2023,7.2,1.44万,0.42万公里,青岛
丰田花冠 2013款 1.6L 自动 豪华版,丰田,丰田花冠,豪华版,2013,2014,2.7,0.54万,9.73万公里,北京
本田思域 2019款 220TURBO CVT 劲动版 国VI,本田,本田思域,国VI,2019,2019,8.0,1.60万,7.76万公里,郑州
宝马3系 2021款 325Li M运动曜夜套装,宝马,宝马3系,325Li,2021,2020,24.6,4.92万,6.30万公里,昆明
日产楼兰 2015款 2.5 XL 两驱智尚版,日产,日产楼兰,两驱智尚版,2015,2016,8.0,1.60万,7.09万公里,济南
起亚智跑 2016款 2.0L 手自一体 两驱 DLX,起亚,起亚智跑,两驱,2016,2019,7.3,1.46万,3.42万公里,临沂
奥迪A6L 2020款 45 TFSI 臻选动感版,奥迪,奥迪A6L,臻选动感版,2020,2020,28.58,5.72万,3.06万公里,临沂
大众迈腾 2020款 330TSI 豪华型,大众,大众迈腾,330TSI,2020,2021,16.56,3.31万,2.87万公里,长春
奥迪A4L 2019款 40 TFSI 时尚版 国VI,奥迪,奥迪A4L,国VI,2019,2019,17.0,3.40万,7.74万公里,临沂
大众途观L 2017款 380TSI 双离合 四驱 旗舰版,大众,大众途观L,旗舰版,2017,2017,12.57,2.51万,6.95万公里,长春
大众朗逸 2021款 1.5L 手自一体 舒适版,大众,大众朗逸,舒适版,2021,2023,9.28,1.86万,0.01万公里,临沂
本田CR-V 2021款 240TURBO CVT 两驱 都市版,本田,本田CR-V,都市版,2021,2020,13.5,2.70万,4.66万公里,临沂
日产蓝鸟 2016款 1.6L CVT 智酷版,日产,日产蓝鸟,智酷版,2016,2017,5.0,1.00万,6.44万公里,海口
大众高尔夫 2018款 230TSI 双离合 舒适版,大众,大众高尔夫,舒适版,2018,2018,7.9,1.58万,3.15万公里,临沂
大众凌渡 2019款 230TSI 双离合 风尚版 国V,大众,大众凌渡,国V,2019,2019,7.6,1.52万,7.60万公里,临沂
宝骏530 2018款 1.5T 双离合 旗舰型 5座 国V,宝骏,宝骏530,5座,2018,2018,3.9,0.78万,3.72万公里,天津
本田艾力绅 2022款 锐·混动 2.0L 豪华版,本田,本田艾力绅,豪华版,2022,2022,24.6,4.92万,3.73万公里,临沂
比亚迪唐新能源 2023款 DM-i 冠军版 1.5T 112km 前驱尊享型 7座,比亚迪,比亚迪唐新能源,7座,2023,2023,15.98,3.20万,0.73万公里,西安
奔腾X40 2017款 1.6L 手自一体 尊享版,奔腾,奔腾X40,尊享版,2017,2017,3.4,0.68万,4.82万公里,长春
本田杰德 2020款 1.8L 自动 舒适版 5座,本田,本田杰德,5座,2020,2019,8.7,1.74万,4.14万公里,临沂
本田思域 2019款 220TURBO CVT 劲动版 国V,本田,本田思域,国V,2019,2019,8.448,1.69万,7.34万公里,长春
比亚迪唐 2019款 2.0TI 手自一体 智联尊贵版 7座 国VI,比亚迪,比亚迪唐,国VI,2019,2020,8.4,1.68万,2.82万公里,临沂
本田CR-V 2023款 240TURBO 两驱锋尚版 5座,本田,本田CR-V,5座,2023,2023,17.0,3.40万,1.13万公里,临沂
大众捷达 2015款 质惠版 1.6L 手动时尚型,大众,大众捷达,手动时尚型,2015,2017,3.432,0.69万,9.86万公里,长春
丰田凯美瑞 2021款 2.5S 锋尚版,丰田,丰田凯美瑞,锋尚版,2021,2021,14.4,2.88万,1.09万公里,东莞
长安CS35 2012款 1.6L 自动 豪华型,长安,长安CS35,自动,2012,2016,3.415,0.68万,8.15万公里,长春
奥迪Q3 2013款 35TFSI quattro 舒适型,奥迪,奥迪Q3,quattro,2013,2013,5.9,1.18万,8.97万公里,海口
斯柯达昕锐 2013款 1.6L 手动 智选版,斯柯达,斯柯达昕锐,智选版,2013,2013,1.8,0.36万,8.80万公里,唐山
吉利汽车吉利博越 2016款 博越 1.8TD 自动智联型,吉利汽车,吉利汽车吉利博越,1.8TD,2016,2018,4.8,0.96万,5.77万公里,天津
吉利汽车吉利豪越 2020款 1.8TD 双离合 豪华型,吉利汽车,吉利汽车吉利豪越,双离合,2020,2021,7.6,1.52万,3.25万公里,广州
奔腾B70 2022款 第三代 1.5T 双离合尊享型,奔腾,奔腾B70,1.5T,2022,2023,7.9,1.58万,1.03万公里,临沂
东风风行菱智 2018款 M5L 1.6L 手动 舒适版 7座 国V,东风风行,东风风行菱智,国V,2018,2019,3.7,0.74万,3.95万公里,东莞
铃木锋驭 2014款 1.6L CVT 进取型,铃木,铃木锋驭,CVT,2014,2014,3.691,0.74万,6.90万公里,长春
大众迈腾 2020款 330TSI 豪华型,大众,大众迈腾,330TSI,2020,2022,16.5,3.30万,3.22万公里,临沂
大众迈腾 2020款 330TSI 豪华型,大众,大众迈腾,330TSI,2020,2022,16.5,3.30万,3.22万公里,临沂
本田UR-V 2017款 370TURBO 手自一体 两驱 尊贵版 国V,本田,本田UR-V,国V,2017,2017,13.28,2.66万,6.43万公里,西安
本田CR-V 2021款 240TURBO CVT 两驱 风尚版,本田,本田CR-V,风尚版,2021,2022,16.0,3.20万,3.61万公里,天津
大众迈腾 2019款 330TSI 双离合 豪华型 国VI,大众,大众迈腾,豪华型,2019,2019,12.67,2.53万,6.89万公里,临沂
比亚迪宋PLUS 2020款 1.5T 双离合 旗舰型,比亚迪,比亚迪宋PLUS,双离合,2020,2021,8.0,1.60万,4.90万公里,临沂
哈弗F7 2021款 1.5T 双离合 两驱 i潮,哈弗,哈弗F7,两驱,2021,2021,8.0,1.60万,2.50万公里,临沂
本田雅阁 2018款 260TURBO 精英版 国V,本田,本田雅阁,国V,2018,2018,11.631,2.33万,7.05万公里,长春
哪吒汽车哪吒V 2022款 潮 300 Lite 磷酸铁锂,哪吒汽车,哪吒汽车哪吒V,Lite,2022,2022,5.6,1.12万,4.55万公里,深圳
现代伊兰特 2022款 1.5L CVT尊贵版,现代,现代伊兰特,CVT尊贵版,2022,2023,8.5,1.70万,1.01万公里,临沂
本田皓影 2020款 240TURBO CVT 两驱 精英版,本田,本田皓影,精英版,2020,2021,12.7,2.54万,6.56万公里,临沂
本田XR-V 2021款 1.5L CVT舒适版,本田,本田XR-V,CVT舒适版,2021,2021,9.0,1.80万,3.68万公里,临沂
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,别克GL8,652T,2021,2020,19.4,3.88万,5.89万公里,临沂
福特嘉年华 2013款 两厢 1.5L 自动 时尚型,福特,福特嘉年华,自动,2013,2016,3.2,0.64万,9.76万公里,重庆
吉利汽车吉利博越 2020款 1.8TD 双离合 智联PRO,吉利汽车,吉利汽车吉利博越,双离合,2020,2020,6.72,1.34万,5.00万公里,海口
大众迈腾 2021款 330TSI 30周年纪念型,大众,大众迈腾,330TSI,2021,2023,17.8,3.56万,2.87万公里,宝鸡
奇瑞瑞虎7 2020款 神行版 1.5T CVT神行1号,奇瑞,奇瑞瑞虎7,CVT神行1号,2020,2021,5.2,1.04万,0.92万公里,济宁
小鹏P7 2022款 670E+鹏翼版,小鹏,小鹏P7,670E+鹏翼版,2022,2022,17.0,3.40万,4.83万公里,杭州
日产天籁 2020款 2.0L XL 舒适版,日产,日产天籁,舒适版,2020,2020,9.98,2.00万,2.74万公里,中山
名爵MG7 2023款 2.0T 自动猎美奢享版,名爵,名爵MG7,自动猎美奢享版,2023,2023,10.9,2.18万,2.44万公里,沧州
本田雅阁 2018款 260TURBO 精英版 国VI,本田,本田雅阁,国VI,2018,2020,12.65,2.53万,6.43万公里,中山
长安欧尚科赛 2020款 1.5T 手动 悦尚型,长安欧尚,长安欧尚科赛,手动,2020,2020,4.488,0.90万,7.57万公里,重庆
吉利汽车吉利星越L 2021款 2.0T 双离合两驱尊贵型,吉利汽车,吉利汽车吉利星越L,2.0T,2021,2022,11.7,2.34万,5.22万公里,洛阳
宝马2系旅行车 2019款 218i 时尚型,宝马,宝马2系旅行车,218i,2019,2019,8.8,1.76万,5.81万公里,重庆
大众高尔夫 2018款 280TSI 双离合 R-Line,大众,大众高尔夫,双离合,2018,2019,8.9,1.78万,4.02万公里,沧州
铃木奥拓 2013款 1.0L 自动 20周年限量版,铃木,铃木奥拓,20周年限量版,2013,2014,2.28,0.46万,6.36万公里,郑州
长安Lumin 2022款 210km 香甜款,长安,长安Lumin,210km,2022,2023,3.7,0.74万,1.71万公里,唐山
保时捷Macan 2018款 Macan 2.0T,保时捷,保时捷Macan,Macan,2018,2018,26.4,5.28万,3.40万公里,济南
宝骏730 2019款 1.5L 手动 时尚型 7座 国VI,宝骏,宝骏730,7座,2019,2020,4.5,0.90万,3.25万公里,洛阳
捷豹XEL 2020款 2.0T 200PS R-DYNAMIC S进取运动版,捷豹,捷豹XEL,S进取运动版,2020,2021,16.76,3.30万,4.34万公里,中山
奥迪A4L 2015款 35 TFSI 自动 标准型,奥迪,奥迪A4L,自动,2015,2015,9.88,1.94万,5.80万公里,台州
起亚K3 2016款 1.6L 手自一体 GL,起亚,起亚K3,手自一体,2016,2017,4.98,0.97万,4.81万公里,青岛
哈弗F7 2020款 1.5T 双离合 两驱 i潮,哈弗,哈弗F7,两驱,2020,2020,8.0,1.52万,5.77万公里,许昌
奇瑞QQ 2013款 1.0L 手动 快乐版,奇瑞,奇瑞QQ,快乐版,2013,2015,1.26,0.25万,4.75万公里,济宁
大众高尔夫 2019款 280TSI 双离合 豪华型 国V,大众,大众高尔夫,豪华型,2019,2019,9.88,1.90万,5.36万公里,沧州
奔驰C级 2021款 C 260 星耀臻藏版,奔驰,奔驰C级,星耀臻藏版,2021,2021,23.88,4.78万,4.21万公里,厦门
宝马5系 2018款 改款 530Li 2.0T 手自一体 尊享版 M运动套装,宝马,宝马5系,M运动套装,2018,2018,29.98,5.62万,4.57万公里,厦门
日产轩逸 2016款 1.6XL+ CVT 尊享版,日产,日产轩逸,尊享版,2016,2017,5.39,1.04万,6.65万公里,淄博
凯迪拉克XT5 2020款 改款 28T 两驱 豪华型,凯迪拉克,凯迪拉克XT5,两驱,2020,2020,21.48,3.63万,5.81万公里,杭州
丰田雷凌 2021款 双擎 1.8L E-CVT 进取版,丰田,丰田雷凌,进取版,2021,2021,8.18,1.60万,6.32万公里,淄博
长安CS55 2018款 1.5T 手动 炫色型 国V,长安,长安CS55,炫色型,2018,2019,5.06,0.91万,8.60万公里,柳州
吉利汽车吉利缤瑞 2021款 1.4T CVT F-运动版,吉利汽车,吉利汽车吉利缤瑞,F-运动版,2021,2021,6.18,1.13万,3.31万公里,徐州
特斯拉Model Y 2021款 标准续航后轮驱动版,特斯拉,特斯拉Model,标准续航后轮驱动版,2021,2021,20.8,3.71万,3.58万公里,杭州
坦克300 2023款 越野版 2.0T 征服者,坦克,坦克300,征服者,2023,2023,20.4,3.76万,1.30万公里,广州
奔驰C级 2023款 改款 C 260 L 运动版,奔驰,奔驰C级,运动版,2023,2023,31.18,6.00万,0.88万公里,厦门
别克昂科威 2018款 20T 双离合 两驱 精英版 国V,别克,别克昂科威,国V,2018,2018,8.86,1.77万,5.28万公里,杭州
丰田汉兰达 2018款 2.0T 手自一体 四驱 豪华版 7座 国VI,丰田,丰田汉兰达,国VI,2018,2019,23.48,4.34万,5.78万公里,西宁
大众高尔夫 2019款 280TSI 双离合 舒适型 国V,大众,大众高尔夫,舒适型,2019,2019,9.68,1.75万,3.80万公里,杭州
别克昂科拉 2015款 1.4T G 自动 两驱 都市精英型,别克,别克昂科拉,两驱,2015,2015,4.48,0.74万,9.01万公里,广州
宝马5系 2020款 530Li 尊享型 M运动套装,宝马,宝马5系,尊享型,2020,2020,35.88,6.90万,3.06万公里,厦门
现代ix25 2017款 1.6L 手自一体 智能版 国V,现代,现代ix25,国V,2017,2018,7.13,1.18万,5.85万公里,柳州
特斯拉Model Y 2022款 545km 后轮驱动版,特斯拉,特斯拉Model,后轮驱动版,2022,2022,23.68,4.40万,2.35万公里,广州
埃安AION Y 2021款 70 悦享科技版,埃安,埃安AION,悦享科技版,2021,2021,10.08,1.71万,5.43万公里,广州
领克03 2021款 1.5TD 双离合 劲Plus,领克,领克03,双离合,2021,2021,9.98,1.87万,4.76万公里,杭州
林肯冒险家 2022款 2.0T 两驱尊享版,林肯,林肯冒险家,两驱尊享版,2022,2022,19.83,3.76万,2.96万公里,威海
丰田雷凌 2019款 185T CVT 运动版 国VI,丰田,丰田雷凌,国VI,2019,2020,7.8,1.44万,3.67万公里,深圳
广汽传祺传祺GS4 2022款 270T 自动智行领航版,广汽传祺,广汽传祺传祺GS4,自动智行领航版,2022,2022,8.8,1.66万,1.64万公里,惠州
奥迪A3 2020款 Limousine 35 TFSI 时尚型,奥迪,奥迪A3,TFSI,2020,2020,13.96,2.39万,4.51万公里,威海
宝马X3 2022款 xDrive 25i M运动套装,宝马,宝马X3,25i,2022,2022,33.08,6.00万,2.40万公里,青岛
现代ix25 2017款 1.6L 手自一体 智能版 国V,现代,现代ix25,国V,2017,2018,7.94,1.15万,6.01万公里,南昌
本田雅阁 2018款 260TURBO 精英版 国VI,本田,本田雅阁,国VI,2018,2020,13.9,2.60万,3.21万公里,重庆
本田雅阁 2018款 260TURBO 精英版 国VI,本田,本田雅阁,国VI,2018,2020,13.9,2.60万,3.21万公里,重庆
吉利汽车吉利博越 2022款 博越X 1.8TD 双离合 两驱 智慧型,吉利汽车,吉利汽车吉利博越,两驱,2022,2022,10.23,1.70万,2.53万公里,西安
本田飞度 2014款 1.5L EX CVT 精英版,本田,本田飞度,精英版,2014,2015,3.98,0.80万,6.52万公里,济南
哈弗F7 2021款 1.5T 双离合 两驱 i炫,哈弗,哈弗F7,两驱,2021,2021,7.5,1.40万,4.94万公里,惠州
哈弗大狗 2021款 1.5T 两驱边牧版,哈弗,哈弗大狗,两驱边牧版,2021,2022,10.3,1.90万,3.01万公里,北京
本田XR-V 2019款 1.5L CVT 舒适版 国VI,本田,本田XR-V,国VI,2019,2020,9.68,1.66万,5.63万公里,西安
坦克300 2021款 越野版 2.0T 征服者,坦克,坦克300,征服者,2021,2021,16.98,3.28万,4.47万公里,福州
奇瑞新能源小蚂蚁 2022款 改款 甜粉款 301km 半糖版 28.8kWh三元锂 电机30kW,奇瑞新能源,奇瑞新能源小蚂蚁,电机30kW,2022,2022,5.2,1.04万,0.40万公里,洛阳
启辰T90 2017款 2.0L CVT 智尚版,启辰,启辰T90,智尚版,2017,2017,4.0,0.80万,11.58万公里,福州
本田雅阁 2022款 260TURBO 幻夜·尊贵版,本田,本田雅阁,幻夜·尊贵版,2022,2022,15.2,3.04万,2.96万公里,太原
大众朗逸 2019款 启航 1.5L 自动风尚版 国VI,大众,大众朗逸,国VI,2019,2020,5.2,1.04万,3.57万公里,南阳
捷达VA3 2020款 1.5L 自动 向上人生版,捷达,捷达VA3,向上人生版,2020,2023,6.53,1.25万,1.51万公里,沧州
大众朗行 2017款 180TSI 双离合 舒适版,大众,大众朗行,舒适版,2017,2018,6.98,1.24万,3.12万公里,沧州
宝马X1 2018款 sDrive18Li 1.5T 手自一体 尊享版,宝马,宝马X1,尊享版,2018,2018,10.68,2.14万,9.46万公里,苏州
宝骏310 2017款 1.5L 手动 舒适版,宝骏,宝骏310,舒适版,2017,2018,2.16,0.43万,5.59万公里,商丘
领克03 2018款 1.5TD DCT劲Pro版 国V,领克,领克03,国V,2018,2019,6.8,1.36万,9.92万公里,邯郸
长安CS75PLUS 2022款 1.5T 尊贵型,长安,长安CS75PLUS,1.5T,2022,2021,8.88,1.78万,3.89万公里,太原
丰田威驰 2019款 1.5L 手动 创行版,丰田,丰田威驰,创行版,2019,2019,4.0,0.80万,5.24万公里,菏泽
广汽传祺传祺M8 2018款 320T 豪华版,广汽传祺,广汽传祺传祺M8,豪华版,2018,2018,10.1,2.02万,5.61万公里,郑州
大众高尔夫 2015款 1.4TSI 手动 R-Line,大众,大众高尔夫,手动,2015,2015,6.8,1.36万,7.49万公里,西安
理想汽车理想L8 2023款 L8 Pro,理想汽车,理想汽车理想L8,L8,2023,2023,25.6,5.12万,4.99万公里,菏泽
荣威ei6 插电混动 2017款 45T 混动 互联智享版,荣威,荣威ei6,互联智享版,2017,2018,3.6,0.72万,2.04万公里,上海
大众高尔夫 2018款 230TSI 双离合 豪华版,大众,大众高尔夫,豪华版,2018,2019,8.62,1.72万,5.50万公里,潍坊
起亚智跑 2015款 2.0L 自动 两驱 GLS,起亚,起亚智跑,两驱,2015,2015,5.0,1.00万,2.63万公里,郑州
比亚迪元Pro 2021款 401km 豪华型,比亚迪,比亚迪元Pro,401km,2021,2021,6.68,1.34万,3.40万公里,重庆
东风风神奕炫 2020款 230T 双离合 炫目赛道版,东风风神,东风风神奕炫,炫目赛道版,2020,2020,4.2,0.84万,4.13万公里,洛阳
奥迪A4L 2022款 40 TFSI 时尚动感型,奥迪,奥迪A4L,TFSI,2022,2022,21.08,4.22万,4.03万公里,重庆
雪佛兰迈锐宝XL 2017款 1.5T 手自一体 锐享版,雪佛兰,雪佛兰迈锐宝XL,锐享版,2017,2018,6.66,1.33万,4.52万公里,潍坊
荣威i6 MAX 2020款 300TGI 爽酷版,荣威,荣威i6,爽酷版,2020,2021,5.5,1.10万,7.92万公里,商丘
比亚迪海豚 2023款 420km 自由版,比亚迪,比亚迪海豚,自由版,2023,2023,8.84,1.77万,1.40万公里,洛阳
长安UNI-T 2022款 运动版 1.5T 双离合尊贵型,长安,长安UNI-T,双离合尊贵型,2022,2022,8.98,1.80万,2.45万公里,重庆
大众速腾 2019款 200TSI 双离合 舒适型 国VI,大众,大众速腾,舒适型,2019,2020,8.1,1.62万,3.06万公里,北京
埃安AION Y 2022款 Plus 510km 70 智领版,埃安,埃安AION,智领版,2022,2023,9.2,1.84万,1.83万公里,洛阳
小鹏P5 2024款 500Plus,小鹏,小鹏P5,2024款,2024,2024,11.98,2.40万,百公里内,重庆
别克英朗 2019款 18T 手自一体 互联精英版 国VI,别克,别克英朗,国VI,2019,2019,4.63,0.93万,5.09万公里,南宁
小鹏P7 2020款 562E性能版,小鹏,小鹏P7,562E性能版,2020,2020,15.38,3.08万,6.28万公里,重庆
别克英朗 2019款 18T 手自一体 互联精英版 国VI,别克,别克英朗,国VI,2019,2020,4.75,0.95万,4.00万公里,洛阳
荣威RX3 2018款 1.6L CVT 旗舰版,荣威,荣威RX3,旗舰版,2018,2019,4.51,0.90万,3.21万公里,洛阳
雪佛兰科鲁兹 2016款 三厢 1.5L 自动豪华版,雪佛兰,雪佛兰科鲁兹,自动豪华版,2016,2015,2.8,0.56万,6.61万公里,宝鸡
长安UNI-K 智电iDD 2022款 1.5T 130km 卓越型,长安,长安UNI-K,130km,2022,2022,11.8,2.36万,4.35万公里,重庆
Polestar极星Polestar 2 2021款 485km 单电机标准续航版,Polestar极星,Polestar极星Polestar,单电机标准续航版,2021,2022,12.8,2.56万,1.91万公里,重庆
Jeep自由侠 2018款 180T 双离合 高能版,Jeep,Jeep自由侠,高能版,2018,2018,6.48,1.30万,3.40万公里,洛阳
岚图汽车岚图FREE 2021款 123km 四驱标准增程版,岚图汽车,岚图汽车岚图FREE,四驱标准增程版,2021,2021,14.5,2.90万,6.87万公里,重庆
一汽-大众CC 2021款 330TSI 上市特别版,大众,一汽-大众CC,上市特别版,2021,2021,17.2,3.44万,3.13万公里,洛阳
埃安AION V 2022款 Plus 70 行政版 磷酸铁锂,埃安,埃安AION,磷酸铁锂,2022,2023,13.0,2.60万,1.78万公里,重庆
大众途安 2015款 1.4TSI 自动 5座 舒适版,大众,大众途安,舒适版,2015,2015,5.37,1.07万,9.85万公里,潍坊
广汽传祺传祺GA4 2018款 200T 手自一体 豪华版,广汽传祺,广汽传祺传祺GA4,豪华版,2018,2018,3.94,0.79万,6.33万公里,重庆
领克02 2018款 1.5TD 双离合 两驱 耀Pro 国V,领克,领克02,耀Pro,2018,2018,6.98,1.40万,7.49万公里,洛阳
宝马3系 2016款 316i 1.6T 手自一体 时尚型,宝马,宝马3系,手自一体,2016,2016,8.98,1.80万,8.61万公里,重庆
福特福克斯 2020款 三厢 EcoBoost 180 自动 锋潮型,福特,福特福克斯,自动,2020,2019,6.38,1.28万,3.25万公里,重庆
众泰SR7 2016款 1.5T 手动 魔方之门版 国IV,众泰,众泰SR7,国IV,2016,2016,1.32,0.26万,5.28万公里,洛阳
吉利汽车吉利星越 2019款 300T 双离合 两驱 耀星者,吉利汽车,吉利汽车吉利星越,两驱,2019,2019,7.55,1.51万,6.79万公里,洛阳
星途TX 2021款 1.6T 双离合 两驱 超能3号,星途,星途TX,两驱,2021,2021,7.44,1.49万,3.49万公里,徐州
长城炮 2020款 越野版 2.0T 自动四驱小双高阶版 汽油,长城,长城炮,汽油,2020,2020,11.28,2.26万,4.59万公里,潍坊
坦克300 2021款 越野版 2.0T 征服者,坦克,坦克300,征服者,2021,2021,17.9,3.58万,7.10万公里,兰州
坦克300 2023款 越野版 2.0T 征服者,坦克,坦克300,征服者,2023,2023,18.5,3.70万,2.30万公里,菏泽
大众捷达 2017款 1.5L 自动 豪华版,大众,大众捷达,豪华版,2017,2018,4.8,0.96万,4.69万公里,东莞
一汽-大众CC 2015款 3.0L V6 FSI,大众,一汽-大众CC,V6,2015,2015,8.5,1.70万,7.88万公里,大连
日产逍客 2016款 2.0L XL CVT 精英版,日产,日产逍客,精英版,2016,2016,6.14,1.23万,6.24万公里,银川
Jeep指南者 2017款 200T 家享版,Jeep,Jeep指南者,家享版,2017,2019,7.44,1.49万,2.49万公里,潍坊
Jeep指南者 2017款 200T 家享版,Jeep,Jeep指南者,家享版,2017,2019,7.44,1.49万,2.49万公里,潍坊
马自达CX-5 2017款 2.0L 手自一体 两驱 舒适版 国VI,马自达,马自达CX-5,国VI,2017,2017,7.8,1.56万,5.91万公里,银川
